,a,b,c,d,e,f,g,h,i,j,k,l,m
16,150.50402982664428,-12.762490728079015,-54.39494914230033,7.044193548368703,1356.5181315384095,-193.79915308122608,4.295350106278887,83.96557846697593,1292.2184158827877,176.0070559121636,8.372472675281406,76.57407829239911,273.55236929588557
17,-4939.295919447911,648.6195207808254,-308.3795070865674,-23.95921811155759,1790.3078284660546,1791.2996875662668,88.96798850748581,-53.14066746062386,-359.90801854771144,657.9719380497347,-14.907481609503861,133.30390768614274,429.71585682116864
18,-27569.508431357353,4712.689380831153,299.4206128336666,3.970144586989813,1271.0955137558833,6577.844963233136,-87.84803616148687,-126.77947082586802,3550.1832722115023,4380.726053151668,3.425847383874128,-92.7528444061503,1184.3518596285787
19,634.6449051635192,-1475.3689011183671,13.76813689461406,4.81129017511616,1947.2436275826562,-346.84475866015873,1182.3056031163367,91.392140519891,10.811217721757743,1059.1319267597505,-590.2470380196213,255.0793544729265,352.8553139393623
20,304.3619418913131,-136.43755004583227,0.13904238292978321,-290.4713678394519,7148.837309742151,382.2438516186082,-156.26220526562022,1392.5578309348634,791.4759717054625,17.722930674957965,335.38957894754185,161.76049514073125,713.4556432604558
21,-2341.9118048004884,-1109.0794334254147,-7.665961368324358,-12.727981832938738,1717.283714502936,-1441.7444925510042,1145.7480504279017,110.49895725467105,379.3062489881028,-66.57754585645782,139.66933817770902,117.05918692083097,-12.242275953340844
22,770.9054806595879,-280.1401720650116,0.10419761738179016,122.17979118348397,3410.478836514978,403.79054902606305,178.0592061360853,-1.7140282613754039,268.0090222985758,45.009944132951304,36.38277920481304,23.80794378991385,2123.3901010875743
23,151.86075678952707,-396.5852441862196,-6.481882704264816,-24.35436210481037,574.9237209685218,-834.4655667372251,92.27798595403719,6.6901320130820014,-103.72140172240981,49.74204188884531,22.3697608305822,-108.44264645542671,85.21269825316915
24,1075.4403184112007,-592.6107936223137,-43.66254959877655,49.65952486918946,506.0696847687998,366.2532966530977,4.814230729070509,617.0113179659817,969.3310591856559,994.3974257930445,47.56319273977188,40.30288660332825,197.8360542980068
25,859.4655495738816,-407.5498979286842,-2.8636836900515226,-7.577492830589669,1081.4880679241016,249.2596627063185,31.24121080130392,32.60528613775423,1694.297471722502,1231.66607145693,4.797898298905968,-62.705569192716695,422.1906575419764
26,3025.423306688981,-1289.3000288860692,-27.078883195322952,25.97563582658224,1912.1496708458665,-946.0919940743429,-35.90586274102944,4.952700499839891,-124.97833730310967,123.78009615385157,-142.61297069731106,165.08052142461844,703.0148540928903
27,-267.22295577502115,-32.07932670261585,-27.145012025473026,-196.93302187517241,4964.757847019427,-350.4917337419254,190.6099139700891,2160.631048420668,-51.1134540237085,4.146994929460945,23.251586706648848,287.43658304176716,26.536030882916922
28,1151.520976500684,72.52352290704523,-18.87125308715961,116.35804738734852,2773.6407704565427,7.803520521719548,931.4352446030356,284.85403056452174,254.9066666649372,545.3095260321131,338.7064728997057,78.88768809968984,242.89362579294502
29,656.6006141765586,-753.5827225551926,-59.9397038955034,-187.37606334403443,2519.6482016571795,-381.28834627706345,111.1575748659188,52.50340219760258,967.2665986691168,710.7123136103535,42.61156860965207,193.38999570822136,209.9042107995183
30,3064.511272135073,-815.5298189463471,-14.505267399796061,-302.18218767956614,1816.3617712198852,0.05392062910771078,176.5511631804323,-169.1218942444142,995.0591249903267,946.1501287857618,-337.9501904250409,124.61678766831749,-0.02855247703971031
